
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="fc_admin",="sum_int_c",="downpayment_capital",="cost_losing_pawn",="def_imp",="apr"

="2.t_producto",="-234.8***",="-191.7***",="0.025",="-74.7**",="-0.063***",="-0.14***"
="",="(48.1)",="(37.6)",="(2.77)",="(30.5)",="(0.023)",="(0.022)"

="N",="3724",="3724",="3724",="3724",="3724",="3724"
="R-sq",="0.016",="0.025",="0.004",="0.012",="0.019",="0.042"
="Control Mean",="988.8",="593.4",="5.32",="395.4",="0.44",="0.61"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
