
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)"
="",="dias_primer_pago",="first_pay_porc",="rec_fd",="dias_ultimo_mov",="dias_al_desempenyo",="pay_default",="sum_porcp_c_d",="zero_pay_default_d",="zero_pay_default",="num_v",="num_v_d"

="2.t_producto",="-13.8***",="9.76***",="0.079***",="-27.9***",="-17.9***",="-0.071***",="-4.12***",="0.14***",="0.0050",="-0.031",="-0.20***"
="",="(1.61)",="(2.74)",="(0.026)",="(4.35)",="(3.88)",="(0.015)",="(1.28)",="(0.034)",="(0.021)",="(0.049)",="(0.050)"

="4.t_producto",="-3.51**",="-0.58",="-0.010",="-0.18",="-1.35",="-0.027**",="-1.82*",="0.050*",="0.0035",="0.085",="-0.079*"
="",="(1.57)",="(2.23)",="(0.022)",="(4.33)",="(4.19)",="(0.014)",="(1.05)",="(0.029)",="(0.019)",="(0.053)",="(0.043)"

="N",="4412",="6304",="6304",="6304",="3031",="6304",="2492",="2492",="6304",="6304",="2492"
="R-sq",="0.055",="0.017",="0.016",="0.054",="0.041",="0.011",="0.024",="0.034",="0.016",="0.022",="0.028"
="Control Mean",="82.8",="45.8",="0.30",="136.6",="103.9",="0.12",="9.68",="0.71",="0.31",="1.14",="0.39"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
